Soil_pH,Rainfall,Temperature,Fertilizer,Yield
6.5,200,28,Urea,25
7.0,300,32,DAP,40
5.5,100,22,Compost,18
6.2,250,29,NPK,30
7.5,320,34,Urea,45
6.8,180,26,DAP,22
6.1,210,27,NPK,27
5.9,150,23,Compost,20
7.2,340,33,Urea,42
6.4,260,30,DAP,34
6.0,190,25,Compost,24
7.1,310,31,NPK,38
6.6,220,28,Urea,29
5.7,130,21,Compost,17
6.9,280,29,DAP,33
6.3,240,27,NPK,28
7.3,330,35,Urea,44
5.8,160,24,Compost,19
6.7,270,30,DAP,31
6.2,230,26,NPK,26
7.4,350,36,Urea,46
6.0,200,27,Compost,23
6.5,290,31,DAP,32
5.6,140,22,Compost,18
7.0,300,32,NPK,39
6.1,180,25,Urea,26
6.8,260,29,DAP,30
5.9,170,23,Compost,21
7.2,320,34,Urea,43
6.4,250,28,NPK,29
6.0,200,26,Compost,22
7.1,310,33,DAP,37
6.3,220,27,NPK,27
5.7,120,21,Compost,16
6.9,290,30,Urea,34
6.6,230,28,DAP,30
7.3,340,35,NPK,42
5.8,160,22,Compost,19
6.7,280,31,Urea,32
6.2,210,26,NPK,25
7.5,360,36,DAP,47
6.0,190,24,Compost,21
6.5,300,32,Urea,35
5.5,110,20,Compost,15
7.0,320,33,DAP,41
6.1,200,26,NPK,24
6.8,270,30,Urea,31
5.9,150,23,Compost,20
7.2,330,34,DAP,43
6.4,240,28,NPK,28
6.0,180,25,Compost,22
7.1,310,31,Urea,36
6.3,230,27,DAP,29
5.6,130,21,Compost,17
6.9,290,29,NPK,32
6.6,220,26,Urea,28
7.3,350,35,DAP,44
5.8,170,24,Compost,19
6.7,260,28,NPK,27
6.2,200,25,Urea,25
7.4,360,37,DAP,48
6.0,190,24,Compost,21
6.5,280,30,NPK,30
5.7,120,20,Compost,16
7.0,300,32,Urea,38
6.1,210,27,DAP,26
6.8,250,28,NPK,27
5.9,160,22,Compost,19
7.2,330,34,Urea,42
6.4,260,30,DAP,32
6.0,180,25,Compost,23
7.1,320,33,NPK,37
6.3,220,27,Urea,28
5.6,140,21,Compost,18
6.9,290,30,DAP,33
6.6,240,28,NPK,29
7.3,340,36,Urea,45
5.8,160,23,Compost,20
6.7,270,29,DAP,30
6.2,230,27,NPK,26
7.5,370,38,Urea,49
6.0,200,26,Compost,22
6.5,290,31,DAP,33
5.5,110,20,Compost,15
7.0,310,32,NPK,39
6.1,180,24,Urea,25
6.8,260,29,DAP,30
5.9,150,22,Compost,19
7.2,340,35,Urea,44
6.4,250,28,NPK,28
6.0,190,25,Compost,22
7.1,300,32,DAP,36
6.3,210,26,NPK,26
5.7,130,21,Compost,17
6.9,280,29,Urea,33
6.6,230,27,DAP,29
7.3,350,36,NPK,43
5.8,170,24,Compost,19
6.7,270,30,Urea,31
6.2,220,26,DAP,26
7.4,360,37,NPK,47
6.0,180,24,Compost,20
